,TEXT
26,　　2017-05-2514:50:48　　社保缺钱，而且注定缺口越来越大。缺口大了，就会饥不择食，对于一次性补交社保费来者不拒，所谓寅吃卯粮。想要拿养老金的人，其实根本不需要缴满十五年，退休前一次性买就可以了。逻辑不变，所以现在如此，以后也是如此。　　-----------------------------　　中国社保基金有缺口，最根本的原因一是劳动力老龄化，二是当年缴纳社保基金水平非常低，现在要回报的退休工资非常高。
27,　　2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　你他娘的不就是解放后祖宗刚好在城里么，现在牛了，解放后农民拿什么造反，饿死人的时候都架机枪不准要饭，历史那朝不许要饭了。　　
28,　　2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　2017-05-2514:43:33　　农民反补工业的历史确实有。　　那是基于农民得到了土地，是向国家缴纳的地租。　　-----------------------------　　2017-05-2514:46:48　　那代人现在老了拿几十过份么，你咋不喷这个国家制度。　　-----------------------------　　现在社保不管是谁统一交就是了，不交没有就行了。　　
29,　　2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　2017-05-2514:54:08　　你他娘的不就是解放后祖宗刚好在城里么，现在牛了，解放后农民拿什么造反，饿死人的时候都架机枪不准要饭，历史那朝不许要饭了。　　-----------------------------　　傻孩子，我们村许多人都到了煤矿上班，有的人受不了约束，有的是挨饿，又纷纷跑回了农村。城里的绝大多数人都是从农民迁移出来的。　　当年，我们当地有非常有名的顺口溜：七级工、八级工，不如农民的一沟葱。
30,　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。
31,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　就是这个意思。　　
32,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　1、农民缴粮，是基于土改后，国家给农民分到了土地，这属于地租的性质，不是所谓的缴纳社保基金。　　2、公务员以及事业单位人员以前不缴社保基金，依然可以领退休金，当时财政没有为其工资里支出社保基金支出这一项。因为这些人退休时由国家财政转移支付其退休金。　　3、现在公务员和事业单位也缴纳社保基金，也开始从社保基金领退休金，而国家财政一直往社保基金里拨款，弥补这个亏空。　　4、如果缴不缴社保基金，大家都可以领一样的退休金，你认为有多少人愿意继续缴纳社保基金？这个枯竭的社保基金池子，将来还有什么人能领到退休金？
33,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。
34,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　2017-05-2515:14:08　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　-----------------------------　　别逗了，你现在领的养老金是你以前交的，还要脸不，你以前交多少钱。早两年在上海，跟房东聊过，他们以前一个月交15块钱，现在领2500左右，自己交的，呵呵你个不要脸
35,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　2017-05-2515:14:08　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　-----------------------------　　2017-05-2515:23:43　　别逗了，你现在领的养老金是你以前交的，还要脸不，你以前交多少钱。早两年在上海，跟房东聊过，他们以前一个月交15块钱，现在领2500左右，自己交的，呵呵你个不要脸　　-----------------------------　　国家给你发退休金，是基于物价的计算，以及当年社保基金的规模和盈余。　　而你之所以能领这个退休金，是基于你已经为这个社保基金做了足够的贡献。　　当年人均工资100元的时候，你为社保基金贡献了15元，在当时你已经完成了你的任务和贡献，那时的人员退休工资是80元，你完成了你对社会的养老任务。　　现在人均工资3000元，根据你的贡献，你应该有资格接受社会对你的养老义务，而不是当时的80元，而是现在的2500元。
36,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　2017-05-2515:14:08　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　-----------------------------　　2017-05-2515:23:43　　别逗了，你现在领的养老金是你以前交的，还要脸不，你以前交多少钱。早两年在上海，跟房东聊过，他们以前一个月交15块钱，现在领2500左右，自己交的，呵呵你个不要脸　　-----------------------------　　2017-05-2515:28:22　　国家给你发退休金，是基于物价的计算，以及当年社保基金的规模和盈余。　　而你之所以能领这个退休金，是基于你已经为这个社保基金做了足够的贡献。　　当年人均工资100元的时候，你为社保基金贡献了15元，在当时你已经完成了你的任务和贡献，那时的人员退休工资是80元，你完成了你对社会的养老任务。　　现在人均工资3000元，根据你的贡献，你应该有资格接受社会对你的养老义务，而不是当时的80元，而是现在的2500元。　　-----------------------------　　我就问你，你以前一个月交15块，现在一个月领2500，这差了2485块钱哪里来？如果是财政给的，那就公平也给农民一个月2485.如果是现在交的人给的，那你是不是也用来农民子女交的钱。
37,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　2017-05-2515:14:08　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　-----------------------------　　2017-05-2515:23:43　　别逗了，你现在领的养老金是你以前交的，还要脸不，你以前交多少钱。早两年在上海，跟房东聊过，他们以前一个月交15块钱，现在领2500左右，自己交的，呵呵你个不要脸　　-----------------------------　　2017-05-2515:28:22　　国家给你发退休金，是基于物价的计算，以及当年社保基金的规模和盈余。　　而你之所以能领这个退休金，是基于你已经为这个社保基金做了足够的贡献。　　当年人均工资100元的时候，你为社保基金贡献了15元，在当时你已经完成了你的任务和贡献，那时的人员退休工资是80元，你完成了你对社会的养老任务。　　现在人均工资3000元，根据你的贡献，你应该有资格接受社会对你的养老义务，而不是当时的80元，而是现在的2500元。　　-----------------------------　　2017-05-2515:31:35　　我就问你，你以前一个月交15块，现在一个月领2500，这差了2485块钱哪里来？如果是财政给的，那就公平也给农民一个月2485.如果是现在交的人给的，那你是不是也用来农民子女交的钱。　　-----------------------------　　当年你交15元的时候，已经保障了当年老年人的体面生活。　　因此也会根据社会的发展，来保障你现在的老年体面生活，这就是社保基金养老的目的和意义。
38,　　2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　-----------------------------　　2017-05-2515:06:27　　就是这个意思。　　-----------------------------　　2017-05-2515:14:08　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　-----------------------------　　2017-05-2515:23:43　　别逗了，你现在领的养老金是你以前交的，还要脸不，你以前交多少钱。早两年在上海，跟房东聊过，他们以前一个月交15块钱，现在领2500左右，自己交的，呵呵你个不要脸　　-----------------------------　　2017-05-2515:28:22　　国家给你发退休金，是基于物价的计算，以及当年社保基金的规模和盈余。　　而你之所以能领这个退休金，是基于你已经为这个社保基金做了足够的贡献。　　当年人均工资100元的时候，你为社保基金贡献了15元，在当时你已经完成了你的任务和贡献，那时的人员退休工资是80元，你完成了你对社会的养老任务。　　现在人均工资3000元，根据你的贡献，你应该有资格接受社会对你的养老义务，而不是当时的80元，而是现在的2500元。　　-----------------------------　　2017-05-2515:31:35　　我就问你，你以前一个月交15块，现在一个月领2500，这差了2485块钱哪里来？如果是财政给的，那就公平也给农民一个月2485.如果是现在交的人给的，那你是不是也用来农民子女交的钱。　　-----------------------------　　2017-05-2515:35:46　　当年你交15元的时候，已经保障了当年老年人的体面生活。　　因此也会根据社会的发展，来保障你现在的老年体面生活，这就是社保基金养老的目的和意义。　　-----------------------------　　别瞎鸡巴扯，你就说钱从哪里来。还有如果我现在一个月交1500，以后政府是不是要一个月给我250000.
39,　　2017-05-2515:03:13　　-----------------------------　　这位杂碎，如果你现在缴纳1500元保障了现在老年人较富裕的生活。　　当你年老的时候，随着物价的上涨，这个社保基金根据规模和盈余，也要保障你能过上较富裕的生活。　　社保养老基金的宗旨就是，你现在养老年人，当你年老时，由年轻人再来养你的老。　　而根本不是国家养你的老，能明白吗？国家只是组织、协调这一过程。
40,　　2017-05-2515:03:13　　----------------------------　　这位杂碎，退休人的钱，就是现在正在工作，现在工作者每年要缴纳的社保基金提供的。　　将来你如果变成老杂碎了，你的退休金就由将来的劳动者缴纳社保基金提供。下一代给上一代养老，再下一代给下代养老，以此循环。
41,　　2017-05-2515:03:13　　----------------------------　　2017-05-2515:43:21　　这位杂碎，退休人的钱，就是现在正在工作，现在工作者每年要缴纳的社保基金提供的。　　将来你如果变成老杂碎了，你的退休金就由将来的劳动者缴纳社保基金提供。下一代给上一代养老，再下一代给下代养老，以此循环。　　-----------------------------　　“你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。”这话是你说的，现在又改口说是下一代养的，你妈逼这么快就自己扇自己脸了，你们五耄狗的世界从来就是不要脸。
42,　　2017-05-2515:03:13　　----------------------------　　现在人的退休金当然可以不用农民子弟缴纳的社保基金，那就意味着这些农民子弟不缴纳社保基金，他们将来也不能领退休金一样的道理。　　你不能说农民子弟缴纳的社保基金，既要给他们的父母养老，将来还要给他们自己养老吧？　　你的智商能看懂宋小宝的《吃面条》那个小品吗？
43,　　2017-05-2515:03:13　　----------------------------　　这位杂碎，农民缴粮当然也是贡献，但性质不一样。　　农民缴粮的贡献，相当于地租，因为农民土改后分到了土地，有了生产资料，这是向国家缴纳的地租性质的东西。　　比如工人创造的利润绝大多数被国家拿走了，去建设了其他工厂、铁路、公路等。是不是说工人可以主张把其他工厂、铁路、公路纳入他的名下？
44,　　国家承诺过，只生一个好，国家来养老的，计划生育农民也是参加了啊，当然得国家养.总不能换了个领导，以前的政策都不算数了吧，那以后谁还会相信他们的话。
45,　　2017-05-2515:58:31　　国家承诺过，只生一个好，国家来养老的，计划生育农民也是参加了啊，当然得国家养.总不能换了个领导，以前的政策都不算数了吧，那以后谁还会相信他们的话。　　-----------------------------　　你能给我找到相关的报纸报道吗？　　我找了那么多年，居然没有找到相关的报纸报道。　　我只见过几张由轮子PS的漏洞百出的报纸头。
46,　　不明白现在的人都什么意思，国家政策是一个人可以改变的吗，农民现在一个月60.70.80.90是对于农民的一种补助。　　
47,　　城市现在拆迁一夜暴富几百万上千万农户用房呢拆迁补助多少你去问问。城市三甲医院看病价高，城市人大把大把的钱，农民看病勒紧裤腰带东借西借看病。　　
48,　　2017-05-2515:03:13　　----------------------------　　再给这位杂碎说一下，那些拿退休金的，也不是国家来管的，而是他们为社保基金贡献所应得的。
49,　　2017-05-2516:02:25　　不明白现在的人都什么意思，国家政策是一个人可以改变的吗，农民现在一个月60.70.80.90是对于农民的一种补助。　　-----------------------------　　补助个屁，只是为了政府在统计养老覆盖率上数据好看点，说什么在我党的领导下，全国养老覆盖率达到多少多少，就是美化他们的功绩。
50,　　2017-05-2516:05:43　　城市现在拆迁一夜暴富几百万上千万农户用房呢拆迁补助多少你去问问。城市三甲医院看病价高，城市人大把大把的钱，农民看病勒紧裤腰带东借西借看病。　　-----------------------------　　哈哈，我就问你一句，你缴纳了社保基金后，你原能领4000元退休金，你会为了没缴纳社保基金的农民领到退休金，主动降为领取400元吗？
51,　　2017-05-2515:03:13　　----------------------------　　你妈逼你不能理解，20年前，你贡献15元，就足以让当时的老年人领到80元的退休金，他就能过上体面的生活，你已经完成了对社会化养老的贡献。　　你现在每月要贡献1500元，才能让现在的老年人领到3000元的退休金，才算完成对社会化养老的贡献。　　你将来要领到9000元的退休金才能保证你的基本养老生活。　　你这种傻逼，连基本的常识都不懂，除了喷，能改变你LOW吗？
52,　　2017-05-2515:03:13　　----------------------------　　你现在缴多少，将来就只能领多少，还有什么社会化养老的意义？社保基金还有存在的必要吗？　　人人拿自己的钱投资理财不好？又何必要到几十年后才能拿这个钱呢？　　你这种傻逼的智商真的能跟上这个社会吗？你在子宫里再发育十年、八年出来不好吗？
53,　　这是一种自私的思想就是你有我没有，我就闹，要么给我一份，要么把你的也闹没了就心里平衡了
54,　　2017-05-2514:50:48　　社保缺钱，而且注定缺口越来越大。缺口大了，就会饥不择食，对于一次性补交社保费来者不拒，所谓寅吃卯粮。想要拿养老金的人，其实根本不需要缴满十五年，退休前一次性买就可以了。逻辑不变，所以现在如此，以后也是如此。　　-----------------------------　　2017-05-2514:53:39　　中国社保基金有缺口，最根本的原因一是劳动力老龄化，二是当年缴纳社保基金水平非常低，现在要回报的退休工资非常高。　　-----------------------------　　不对，根本原因还是贬值。如果继续贬值，缺口只会越来越大，再延退，交养老保险就没有啥实际意义了。
